id,name,team,position,aliases,espn_id,rank,depth_pos,depth_order,injury_status,years_exp,age,adp,adp_stdev
nfl-8520,Daniel Hardy,CHI,LB,,,9999999,LDE,2,,4,27,,
nfl-10887,Darnell Wright,CHI,OL,,,9999999,OL,,,3,24,,
nfl-7649,Dayo Odeyingbo,CHI,DE,,,9999999,RDE,2,Questionable,5,26,,
nfl-5843,Devin Bush,CHI,LB,,4036261,466,MLB,1,,7,28,,
nfl-13371,Dillon Thieneman,CHI,DB,,,180,SS,1,,0,21,,
nfl-12885,Dontae Manning,CHI,CB,,,9999999,DB,,,1,24,,
nfl-5282,Duplicate Player,CHI,WR,,,9999999,,,,0,,,
nfl-8509,Elijah Hicks,CHI,DB,,,9999999,FS,2,PUP,4,26,,
nfl-5855,Garrett Bradbury,CHI,C,,3116729,9999999,OL,,,7,31,,
nfl-11026,Gervarrius Owens,CHI,DB,,,9999999,FS,3,,3,26,,
nfl-10899,Gervon Dexter,CHI,DL,,,999,LDT,1,,3,24,,
nfl-2592,Grady Jarrett,CHI,DT,,2576492,9999999,RDT,1,,11,33,,
nfl-13712,Hayden Large,CHI,TE,,,9999999,TE,7,,0,24,,
nfl-12746,JP Richardson,CHI,WR,J.P. Richardson,,999,WR,8,,1,24,,
nfl-8363,Jack Sanborn,CHI,LB,,,315,LOLB,3,,4,26,,
nfl-13079,Jahdae Walker,CHI,WR,,,999,WR,5,,1,24,,
nfl-6858,James Lynch,CHI,DT,,4259181,9999999,LDT,3,,6,27,,
nfl-12035,Jamree Kromah,CHI,DL,,,9999999,LDE,3,,2,26,,
nfl-13942,Jaren Kump,CHI,C,,,9999999,OL,,,0,,,
nfl-13711,Jayden Loving,CHI,DT,,,9999999,DL,,,0,23,,
nfl-6839,Jaylon Johnson,CHI,DB,,4243253,9999999,RCB,1,,6,27,,
nfl-8702,Jaylon Jones,CHI,CB,,,9999999,LCB,3,,4,28,,
nfl-6787,Jedrick Wills,CHI,OT,,4241482,9999999,OL,,,6,27,,
nfl-11271,Jeremiah Martin,CHI,DL,,,9999999,DL,,,3,27,,
nfl-3247,Joe Thuney,CHI,OL,,2577773,9999999,OL,,,10,33,,
nfl-7957,Jon Rhattigan,CHI,LB,,,9999999,MLB,3,,5,27,,
nfl-6952,Jonah Jackson,CHI,G,,3930040,9999999,OL,,,6,29,,
nfl-6965,Jonathan Garvin,CHI,LB,,4240655,9999999,DL,,IR,6,27,,
nfl-10977,Jordan McFadden,CHI,OL,,,9999999,OL,,,3,26,,
nfl-13540,Jordan van den Berg,CHI,DL,,,9999999,DL,,,0,24,,
nfl-8714,Josh Blackwell,CHI,CB,,,9999999,NB,2,,4,27,,
nfl-13713,KC Eziomume,CHI,DB,K.C. Eziomume,,9999999,DB,,,0,,,
nfl-8755,Kaden Davis,CHI,WR,,,9999999,WR,9,,4,27,,
nfl-3634,Kalif Raymond,CHI,WR,,2973405,999,WR,3,,10,31,,
nfl-5371,Kentavius Street,CHI,DT,,3116726,9999999,RDT,2,,8,30,,
nfl-13512,Keyshaun Elliott,CHI,LB,,,9999999,MLB,2,PUP,0,22,,
nfl-11707,Kiran Amegadjie,CHI,OL,,,9999999,OL,,,2,24,,
nfl-11891,Kyle Hergel,CHI,OL,,,9999999,OL,,,2,26,,
nfl-12534,Kyle Monangai,CHI,RB,,,61,RB,2,,1,24,99.7,11.3
nfl-8365,Kyler Gordon,CHI,DB,,,999,NB,1,PUP,4,26,,
nfl-14031,Kyron Hudson,CHI,WR,,,9999999,WR,11,,0,24,,
nfl-13456,Logan Jones,CHI,C,,,9999999,OL,,,0,24,,
nfl-12749,Luke Elkin,CHI,LS,,,9999999,LS,,,1,24,,
nfl-12707,Luke Newman,CHI,OG,,,9999999,OL,,,1,24,,
nfl-12519,Luther Burden,CHI,WR,,,40,WR,2,,1,22,53.6,6.6
nfl-13489,Malik Muhammad,CHI,CB,,,9999999,LCB,2,,0,21,,
nfl-13917,Marlen Sewell,CHI,DB,,,9999999,DB,,,0,,,
nfl-13944,Mason Murphy,CHI,OT,,,9999999,OL,,,0,,,
nfl-8921,Maurice Alexander,CHI,WR,,,9999999,WR,7,,4,29,,
nfl-13310,Miller Moss,CHI,QB,,,999,QB,4,,0,24,,
nfl-6124,Montez Sweat,CHI,DE,,3134690,331,LDE,1,,7,29,,
nfl-8328,Nephi Sewell,CHI,LB,,,9999999,ROLB,3,,4,27,,
nfl-6825,Neville Gallimore,CHI,DT,,3892883,9999999,LDT,2,,6,29,,
nfl-8107,Nikola Kalinic,CHI,TE,,,999,TE,4,,4,29,,
nfl-10984,Noah Sewell,CHI,LB,,,9999999,ROLB,2,PUP,3,24,,
nfl-13941,Omari Kelly,CHI,WR,,,9999999,WR,10,,0,,,
nfl-12606,Ozzy Trapilo,CHI,OL,,,9999999,OL,,PUP,1,24,,
nfl-12267,Qadir Ismail,CHI,WR,,,9999999,TE,6,,2,26,,
nfl-11260,Robert Burns,CHI,FB,,,9999999,,,,1,,,
nfl-11620,Rome Odunze,CHI,WR,,,63,WR,1,,2,24,50.2,5.5
nfl-10235,Roschon Johnson,CHI,RB,,,999,RB,3,,3,25,,
nfl-12637,Ruben Hyppolite,CHI,LB,,,9999999,LOLB,2,,1,24,,
nfl-6918,Salvon Ahmed,CHI,RB,,4243315,999,RB,5,,6,27,,
nfl-13322,Sam Roush,CHI,TE,,,999,TE,3,,0,22,,
nfl-6290,Scotty Miller,CHI,WR,,3914397,999,WR,6,,7,29,,
nfl-5638,Shaq Roland,CHI,WR,,2978744,1104,,,,1,,,
nfl-12616,Shemar Turner,CHI,DE,,,9999999,RDE,3,PUP,1,23,,
nfl-8584,Skyler Thomas,CHI,DB,,,9999999,,,,1,22,,
nfl-6451,Stephen Carlson,CHI,TE,,3948283,999,TE,5,,7,29,,
nfl-5960,T.J. Edwards,CHI,LB,TJ Edwards,3121544,305,LOLB,1,,7,29,,
nfl-10972,Terell Smith,CHI,DB,,,9999999,RCB,2,Questionable,3,27,,
nfl-12208,Theo Benedet,CHI,OT,,,9999999,OL,,,2,24,,
